"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO3","01.01.2022 10:00 - 01.01.2022 11:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","47","","402","2368","n/e","n/e","0","11","n/e","2","n/e","1014"
"BZN|NO3","01.01.2022 11:00 - 01.01.2022 12:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","47","","399","2376","n/e","n/e","0","12","n/e","2","n/e","1272"
"BZN|NO3","01.01.2022 12:00 - 01.01.2022 13:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","47","","392","2310","n/e","n/e","0","11","n/e","1","n/e","1425"
"BZN|NO3","01.01.2022 13:00 - 01.01.2022 14:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","48","","391","2284","n/e","n/e","0","12","n/e","0","n/e","1487"
"BZN|NO3","01.01.2022 14:00 - 01.01.2022 15:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","47","","386","2257","n/e","n/e","0","12","n/e","1","n/e","1515"
"BZN|NO3","01.01.2022 15:00 - 01.01.2022 16:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","47","","389","2238","n/e","n/e","0","11","n/e","3","n/e","1527"
"BZN|NO3","01.01.2022 16:00 - 01.01.2022 17:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","40","","393","2230","n/e","n/e","0","11","n/e","2","n/e","1542"
"BZN|NO3","01.01.2022 17:00 - 01.01.2022 18:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","40","","397","2185","n/e","n/e","0","11","n/e","1","n/e","1537"
"BZN|NO3","01.01.2022 18:00 - 01.01.2022 19:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","36","","386","2153","n/e","n/e","0","12","n/e","0","n/e","1560"
"BZN|NO3","01.01.2022 19:00 - 01.01.2022 20:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","35","","355","2084","n/e","n/e","0","12","n/e","2","n/e","1602"
"BZN|NO3","01.01.2022 20:00 - 01.01.2022 21:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","35","","349","2029","n/e","n/e","0","12","n/e","0","n/e","1515"
"BZN|NO3","01.01.2022 21:00 - 01.01.2022 22:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","35","","363","2031","n/e","n/e","0","12","n/e","1","n/e","1456"
"BZN|NO3","01.01.2022 22:00 - 01.01.2022 23:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","36","","367","1980","n/e","n/e","0","12","n/e","0","n/e","1436"
