"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO3","02.01.2021 23:00 - 03.01.2021 00:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","162","","61","2617","n/e","n/e","0","10","n/e","2","n/e","6"
"BZN|NO3","03.01.2021 00:00 - 03.01.2021 01:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","178","","61","2564","n/e","n/e","0","9","n/e","3","n/e","3"
"BZN|NO3","03.01.2021 01:00 - 03.01.2021 02:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","179","","60","2523","n/e","n/e","0","9","n/e","4","n/e","2"
"BZN|NO3","03.01.2021 02:00 - 03.01.2021 03:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","60","2438","n/e","n/e","0","10","n/e","3","n/e","4"
"BZN|NO3","03.01.2021 03:00 - 03.01.2021 04:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","61","2444","n/e","n/e","0","10","n/e","2","n/e","8"
"BZN|NO3","03.01.2021 04:00 - 03.01.2021 05:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","60","2474","n/e","n/e","0","9","n/e","1","n/e","4"
"BZN|NO3","03.01.2021 05:00 - 03.01.2021 06:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","61","2447","n/e","n/e","0","9","n/e","4","n/e","6"
"BZN|NO3","03.01.2021 06:00 - 03.01.2021 07:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","179","","61","2442","n/e","n/e","0","10","n/e","5","n/e","8"
"BZN|NO3","03.01.2021 07:00 - 03.01.2021 08:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","63","2584","n/e","n/e","0","8","n/e","2","n/e","6"
"BZN|NO3","03.01.2021 08:00 - 03.01.2021 09:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","69","2665","n/e","n/e","0","10","n/e","2","n/e","11"
"BZN|NO3","03.01.2021 09:00 - 03.01.2021 10:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","69","2682","n/e","n/e","0","9","n/e","2","n/e","18"
"BZN|NO3","03.01.2021 10:00 - 03.01.2021 11:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","69","2690","n/e","n/e","0","9","n/e","1","n/e","12"
"BZN|NO3","03.01.2021 11:00 - 03.01.2021 12:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","179","","70","2641","n/e","n/e","0","12","n/e","5","n/e","11"
"BZN|NO3","03.01.2021 12:00 - 03.01.2021 13:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","66","2657","n/e","n/e","0","11","n/e","3","n/e","5"
"BZN|NO3","03.01.2021 13:00 - 03.01.2021 14:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","68","2676","n/e","n/e","0","11","n/e","2","n/e","11"
